time 	curr	srvc	payld	bdw	NoC	InPort	target_router
34991	256	29	4	4	2	W	514
34994	0	19	2	2	2	L	8192
34992	512	29	4	4	2	W	514
34994	513	29	4	4	2	N	514
34995	514	29	4	4	2	N	514
35012	514	14	2	2	1	L	0
35014	258	14	2	2	1	E	0
35015	2	14	2	2	1	E	0
35011	0	24	8	13	3	W	0
35033	0	29	4	4	2	L	0
34953	0	14	2	87	1	S	0
35038	0	19	2	2	2	L	8192
35050	0	31	2	2	1	L	0
35055	0	24	8	13	3	W	0
35077	0	29	4	4	2	L	1
35079	1	29	4	4	2	N	1
35041	0	14	2	43	1	S	0
35082	0	19	2	2	2	L	8192
35017	1	14	2	68	1	S	0
35096	1	14	2	2	1	L	0
35099	0	24	8	13	3	W	0
35121	0	29	4	4	2	L	256
35123	256	29	4	4	2	W	256
35126	0	19	2	2	2	L	8192
35140	256	31	2	2	1	L	0
35142	0	31	2	2	1	E	0
35143	0	24	8	13	3	W	0
35165	0	29	4	4	2	L	257
35167	256	29	4	4	2	W	257
35085	0	14	2	87	1	S	0
35170	0	19	2	2	2	L	8192
35169	257	29	4	4	2	N	257
35186	257	14	2	2	1	L	0
35188	1	14	2	2	1	E	0
35187	0	24	8	13	3	W	0
35209	0	29	4	4	2	L	512
35211	256	29	4	4	2	W	512
35214	0	19	2	2	2	L	8192
35212	512	29	4	4	2	W	512
35229	512	31	2	2	1	L	0
35231	256	31	2	2	1	E	0
35232	0	31	2	2	1	E	0
35231	0	24	8	13	3	W	0
35253	0	29	4	4	2	L	2
35255	1	29	4	4	2	N	2
35173	0	14	2	87	1	S	0
35258	0	19	2	2	2	L	8192
35256	2	29	4	4	2	N	2
35273	2	14	2	2	1	L	0
35275	1	14	2	2	1	S	0
35275	0	24	8	13	3	W	0
35297	0	29	4	4	2	L	513
35299	256	29	4	4	2	W	513
35302	0	19	2	2	2	L	8192
35300	512	29	4	4	2	W	513
35302	513	29	4	4	2	N	513
35319	513	14	2	2	1	L	0
35321	257	14	2	2	1	E	0
35318	0	24	8	13	3	W	0
35340	0	29	4	4	2	L	0
35261	0	14	2	86	1	S	0
35345	0	19	2	2	2	L	8192
35322	1	14	2	26	1	E	0
35368	0	31	2	2	1	L	0
35362	0	24	8	13	3	W	0
35384	0	29	4	4	2	L	258
35386	256	29	4	4	2	W	258
35348	0	14	2	43	1	S	0
35388	257	29	4	4	2	N	258
35389	0	29	4	4	2	L	256
35389	258	29	4	4	2	N	258
35394	0	19	2	2	2	L	8192
35392	256	29	4	4	2	W	256
35406	258	14	2	2	1	L	0
35408	2	14	2	2	1	E	0
35410	1	14	2	2	1	S	0
35420	256	31	2	2	1	L	0
35422	0	31	2	2	1	E	0
35412	0	24	8	13	3	W	0
35434	0	29	4	4	2	L	514
35436	256	29	4	4	2	W	514
35392	0	14	2	49	1	S	0
35437	512	29	4	4	2	W	514
35439	0	29	4	4	2	L	512
35439	513	29	4	4	2	N	514
35440	514	29	4	4	2	N	514
35444	0	19	2	2	2	L	8192
35442	256	29	4	4	2	W	512
35443	512	29	4	4	2	W	512
35457	514	14	2	2	1	L	0
35459	258	14	2	2	1	E	0
35460	2	14	2	2	1	E	0
35471	512	31	2	2	1	L	0
35462	0	24	8	13	3	W	0
35473	256	31	2	2	1	E	0
35474	0	31	2	2	1	E	0
35484	0	29	4	4	2	L	1
35486	1	29	4	4	2	N	1
35442	0	14	2	49	1	S	0
35489	0	19	2	2	2	L	8192
35462	1	14	2	30	1	S	0
35503	1	14	2	2	1	L	0
35506	0	24	8	13	3	W	0
35528	0	29	4	4	2	L	257
35530	256	29	4	4	2	W	257
35532	257	29	4	4	2	N	257
35533	0	29	4	4	2	L	0
35492	0	14	2	48	1	S	0
35538	0	19	2	2	2	L	8192
35549	257	14	2	2	1	L	0
35551	1	14	2	2	1	E	0
35562	0	31	2	2	1	L	0
35556	0	24	8	13	3	W	0
35578	0	29	4	4	2	L	2
35580	1	29	4	4	2	N	2
35541	0	14	2	44	1	S	0
35581	2	29	4	4	2	N	2
35583	0	29	4	4	2	L	256
35588	0	19	2	2	2	L	8192
35586	256	29	4	4	2	W	256
35598	2	14	2	2	1	L	0
35600	1	14	2	2	1	S	0
35614	256	31	2	2	1	L	0
35616	0	31	2	2	1	E	0
35606	0	24	8	13	3	W	0
35628	0	29	4	4	2	L	513
35630	256	29	4	4	2	W	513
35586	0	14	2	49	1	S	0
35631	512	29	4	4	2	W	513
35633	0	29	4	4	2	L	512
35633	513	29	4	4	2	N	513
35638	0	19	2	2	2	L	8192
35636	256	29	4	4	2	W	512
35637	512	29	4	4	2	W	512
35650	513	14	2	2	1	L	0
35652	257	14	2	2	1	E	0
35653	1	14	2	2	1	E	0
35665	512	31	2	2	1	L	0
35656	0	24	8	13	3	W	0
35667	256	31	2	2	1	E	0
35668	0	31	2	2	1	E	0
35678	0	29	4	4	2	L	258
35680	256	29	4	4	2	W	258
35636	0	14	2	49	1	S	0
35683	0	19	2	2	2	L	8192
35682	257	29	4	4	2	N	258
35683	258	29	4	4	2	N	258
35686	0	19	2	2	2	L	8192
35700	258	14	2	2	1	L	0
35702	2	14	2	2	1	E	0
35704	1	14	2	2	1	S	0
35700	0	24	8	13	3	W	0
35722	0	29	4	4	2	L	514
35724	256	29	4	4	2	W	514
35686	0	14	2	43	1	S	0
35716	0	24	8	13	3	W	0
35725	512	29	4	4	2	W	514
35727	513	29	4	4	2	N	514
35728	514	29	4	4	2	N	514
35736	0	19	2	2	2	L	8192
35739	0	29	4	4	2	L	0
35730	0	14	2	15	1	S	0
35745	514	14	2	2	1	L	0
35744	0	29	4	4	2	L	256
35747	258	14	2	2	1	E	0
35748	2	14	2	2	1	E	0
35748	256	29	4	4	2	W	256
35750	1	14	2	2	1	S	0
35752	0	24	8	13	3	W	0
35773	0	31	2	2	1	L	0
35774	0	29	4	4	2	L	1
35776	1	29	4	4	2	N	1
35751	0	14	2	30	1	S	0
35779	0	19	2	2	2	L	8192
35781	256	31	2	2	1	L	0
35783	0	31	2	2	1	E	0
35782	0	29	4	4	2	L	512
35786	256	29	4	4	2	W	512
35787	512	29	4	4	2	W	512
35793	1	31	2	2	1	L	0
35796	0	24	8	13	3	W	0
35818	0	29	4	4	2	L	257
35820	512	31	2	2	1	L	0
35822	256	31	2	2	1	E	0
35820	256	29	4	4	2	W	257
35795	0	31	2	30	1	S	0
35823	0	19	2	2	2	L	8192
35822	257	29	4	4	2	N	257
35839	257	31	2	2	1	L	0
35841	1	31	2	2	1	E	0
35840	0	24	8	13	3	W	0
35862	0	29	4	4	2	L	2
35864	1	29	4	4	2	N	2
35823	0	31	2	46	1	E	0
35867	0	19	2	2	2	L	8192
35865	2	29	4	4	2	N	2
35882	2	31	2	2	1	L	0
35884	1	31	2	2	1	S	0
35884	0	24	8	13	3	W	0
35906	0	29	4	4	2	L	513
35908	256	29	4	4	2	W	513
35843	0	31	2	70	1	S	0
35911	0	19	2	2	2	L	8192
35909	512	29	4	4	2	W	513
35911	513	29	4	4	2	N	513
35914	0	29	4	4	2	L	0
35928	513	31	2	2	1	L	0
35930	257	31	2	2	1	E	0
35931	1	31	2	2	1	E	0
35928	0	24	8	13	3	W	0
35940	0	31	2	2	1	L	0
35950	0	29	4	4	2	L	258
35952	256	29	4	4	2	W	258
35914	0	31	2	43	1	S	0
35955	0	19	2	2	2	L	8192
35954	257	29	4	4	2	N	258
35955	258	29	4	4	2	N	258
35958	0	29	4	4	2	L	256
35962	256	29	4	4	2	W	256
35972	258	31	2	2	1	L	0
35974	2	31	2	2	1	E	0
35976	1	31	2	2	1	S	0
35972	0	24	8	13	3	W	0
35986	256	31	2	2	1	L	0
35988	0	31	2	2	1	E	0
35994	0	29	4	4	2	L	514
35996	256	29	4	4	2	W	514
35958	0	31	2	43	1	S	0
35997	512	29	4	4	2	W	514
35999	0	29	4	4	2	L	1
35999	513	29	4	4	2	N	514
36000	514	29	4	4	2	N	514
36002	1	29	4	4	2	N	1
36002	0	31	2	5	1	S	0
36004	0	29	4	4	2	L	512
36008	256	29	4	4	2	W	512
36009	0	29	4	4	2	L	257
36009	512	29	4	4	2	W	512
36014	0	19	2	2	2	L	8192
36014	256	29	4	4	2	W	257
36017	514	31	2	2	1	L	0
36016	257	29	4	4	2	N	257
36017	0	29	4	4	2	L	2
36019	258	31	2	2	1	E	0
36020	2	31	2	2	1	E	0
36022	1	31	2	2	1	S	0
36023	0	31	2	2	1	S	0
36024	1	29	4	4	2	N	2
36025	2	29	4	4	2	N	2
36030	1	31	2	2	1	L	0
36032	0	31	2	2	1	S	0
36033	512	31	2	2	1	L	0
36035	256	31	2	2	1	E	0
36036	0	31	2	2	1	E	0
36033	0	24	8	13	3	W	0
36044	257	31	2	2	1	L	0
36046	1	31	2	2	1	E	0
36053	2	31	2	2	1	L	0
36055	1	31	2	2	1	S	0
36055	0	29	4	4	2	L	0
36048	0	31	2	14	1	S	0
36060	0	29	4	4	2	L	256
36063	256	29	4	4	2	W	256
36063	0	31	2	6	1	S	0
36065	0	29	4	4	2	L	513
36069	256	29	4	4	2	W	513
36070	0	29	4	4	2	L	258
36070	512	29	4	4	2	W	513
36072	513	29	4	4	2	N	513
36076	0	31	2	2	1	L	0
36075	0	29	4	4	2	L	514
36075	256	29	4	4	2	W	258
36077	257	29	4	4	2	N	258
36078	258	29	4	4	2	N	258
36080	0	29	4	4	2	L	1
36081	256	29	4	4	2	W	514
36084	256	31	2	2	1	L	0
36082	512	29	4	4	2	W	514
36086	0	31	2	2	1	E	0
36084	513	29	4	4	2	N	514
36085	0	29	4	4	2	L	512
36085	514	29	4	4	2	N	514
36087	1	29	4	4	2	N	1
