time 	curr	srvc	payld	bdw	NoC	InPort	target_router
8643	0	29	2	2	2	L	0
8638	0	31	2	8	1	E	0
8644	256	29	2	2	2	W	512
8645	512	29	2	2	2	W	512
8646	0	29	4	4	2	L	257
8644	0	31	2	8	1	S	0
8636	1	31	2	17	1	S	0
8647	0	2	2	8	1	E	0
8651	0	29	4	4	2	L	256
8653	512	2	2	2	1	L	0
8652	256	29	4	4	2	W	257
8655	256	2	2	2	1	E	0
8653	0	31	2	5	1	S	0
8656	0	19	2	2	2	L	8192
8654	257	29	4	4	2	N	257
8656	0	2	2	5	1	E	0
8658	256	29	4	4	2	W	256
8659	0	29	4	4	2	L	514
8662	1	31	2	2	1	L	0
8664	0	31	2	2	1	S	0
8664	0	29	2	2	2	L	256
8667	0	19	2	2	2	L	8192
8668	256	29	4	4	2	W	514
8669	512	29	4	4	2	W	514
8670	0	29	4	4	2	L	513
8673	512	2	2	2	1	L	0
8671	513	29	4	4	2	N	514
8674	256	29	2	2	2	W	256
8672	514	29	4	4	2	N	514
8675	256	2	2	2	1	E	0
8676	0	2	2	2	1	E	0
8675	0	29	4	4	2	L	512
8678	257	31	2	2	1	L	0
